county,pop
Alachua,522.9
Baker,622.8
Bay,923.7
Bradford,377.4
Brevard,1176.1
Broward,1037.4
Calhoun,595.1
Charlotte,557
Citrus,705.1
Clay,813.2
Collier,417.8
Columbia,759.7
Miami-Dade,916.3
DeSoto,344.3
Dixie,423.5
Duval,724.7
Escambia,847.6
Flagler,843.3
Franklin,644.6
Gadsden,638.1
Gilchrist,597.1
Glades,82.6
Gulf,642.9
Hamilton,747
Hardee,335
Hendry,250
Hernando,1228.1
Highlands,447.5
Hillsborough,539.7
Holmes,576
Indian River,890.8
Jackson,462.3
Jefferson,567.2
Lake,745.5
Lee,451.1
Leon,612.7
Levy,610.7
Liberty,841.1
Madison,435.8
Manatee,775.5
Marion,424.5
Martin,856
Monroe,1037.5
Nassau,741.2
Okaloosa,716
Okeechobee,477.7
Orange,485.4
Osceola,299.7
Palm Beach,738.6
Pasco,620.1
Pinellas,876.5
Polk,562.8
Putnam,898.2
St. Johns,823.3
St. Lucie,939.1
Santa Rosa,580.9
Sarasota,651.7
Seminole,458.2
Sumter,588.4
Suwannee,678.7
Taylor,610.6
Union,441.4
Volusia,857.6
Wakulla,845.4
Walton,569.1
Washington,691
