county,pop
Alachua,566.8
Baker,490
Bay,907.3
Bradford,422.6
Brevard,1136.4
Broward,1014.1
Calhoun,528.6
Charlotte,506.3
Citrus,390.1
Clay,728.4
Collier,400.6
Columbia,579.7
Miami-Dade,953.3
DeSoto,266.8
Dixie,412.5
Duval,780.5
Escambia,1010.6
Flagler,573.2
Franklin,471.7
Gadsden,693.7
Gilchrist,383.4
Glades,107.6
Gulf,491.7
Hamilton,371.7
Hardee,378.9
Hendry,296.7
Hernando,728.3
Highlands,454
Hillsborough,511.6
Holmes,450.8
Indian River,1222.2
Jackson,492
Jefferson,685.4
Lake,799.1
Lee,342.8
Leon,583.8
Levy,490.5
Liberty,448.7
Madison,537.3
Manatee,577.9
Marion,554.9
Martin,513.2
Monroe,1246.9
Nassau,724.3
Okaloosa,715.5
Okeechobee,491
Orange,605.8
Osceola,332
Palm Beach,897.6
Pasco,687.4
Pinellas,868.5
Polk,658.7
Putnam,606.2
St. Johns,778.8
St. Lucie,787.4
Santa Rosa,702.8
Sarasota,569
Seminole,651.4
Sumter,461.3
Suwannee,400.4
Taylor,490
Union,265.1
Volusia,701
Wakulla,577.8
Walton,523.7
Washington,625.4
