year,pop
2017,119.6
2016,263.8
2015,175.2
2014,182
2013,154.1
2012,162.3
2011,114.2
2010,161.5
2009,107.6
2008,107.6
2007,76.5
2006,92.8
2005,84.1
2004,122.1
2003,120
2002,67.4
2001,74.5
2000,82.6
1999,172.4
1998,104.1
