county,pop
Alachua,445.9
Baker,495.7
Bay,834
Bradford,344.3
Brevard,1050.8
Broward,966.8
Calhoun,617.7
Charlotte,611.2
Citrus,443.3
Clay,695.3
Collier,456
Columbia,703.2
Miami-Dade,950.4
DeSoto,441.1
Dixie,359.4
Duval,700.7
Escambia,777.1
Flagler,543.3
Franklin,660.3
Gadsden,674.4
Gilchrist,376.2
Glades,104.1
Gulf,606.1
Hamilton,441.1
Hardee,291.1
Hendry,461.2
Hernando,1021.9
Highlands,518.3
Hillsborough,704.9
Holmes,336.3
Indian River,815.7
Jackson,596.5
Jefferson,681.1
Lake,832.7
Lee,696.3
Leon,622.8
Levy,311
Liberty,1090.9
Madison,414.8
Manatee,773.1
Marion,462.7
Martin,846.5
Monroe,941.5
Nassau,728.4
Okaloosa,718
Okeechobee,540.1
Orange,675.4
Osceola,656
Palm Beach,841.6
Pasco,735.2
Pinellas,891.7
Polk,689.6
Putnam,778.7
St. Johns,842.7
St. Lucie,892.6
Santa Rosa,513.4
Sarasota,608.6
Seminole,504.8
Sumter,666.6
Suwannee,557.8
Taylor,449.3
Union,604.4
Volusia,678.6
Wakulla,870.5
Walton,538.1
Washington,545
